Order_ID,Delivery_Partner_ID,Tracking_Number,Shipment_Date,Delivery_Date,Delivery_Status
8698,9,TRK00000219,2025-01-24,2025-01-29,Delivered
13789,4,TRK00000220,2025-03-23,2025-03-26,Delivered
14976,1,TRK00000221,2026-04-18,2026-04-21,Delivered
8080,8,TRK00000222,2025-04-06,2025-04-10,Delivered
16457,7,TRK00000223,2025-12-04,2025-12-05,Delivered
7495,2,TRK00000224,2024-09-02,2024-09-05,Delivered
1538,9,TRK00000225,2024-07-23,2024-08-01,Delivered
145,7,TRK00000226,2025-05-29,2025-06-06,Delivered
18322,6,TRK00000227,2026-06-03,2026-06-09,Delivered
2976,4,TRK00000228,2025-07-04,2025-07-14,Delivered
3642,10,TRK00000229,2024-08-19,2024-08-22,Delivered
4136,5,TRK00000230,2026-01-02,2026-01-10,Delivered
4876,3,TRK00000231,2026-05-15,2026-05-19,Delivered
9000,2,TRK00000232,2024-09-17,2024-09-20,Shipped
1303,10,TRK00000233,2024-09-28,2024-10-08,Delivered
17594,4,TRK00000234,2025-05-18,2025-05-26,Returned
1231,3,TRK00000235,2026-04-04,2026-04-10,Delivered
9829,1,TRK00000236,2025-05-11,2025-05-13,Delivered
17718,4,TRK00000237,2024-10-06,2024-10-12,Returned
6716,2,TRK00000238,2024-11-23,2024-11-24,Delivered
10933,9,TRK00000239,2024-11-28,2024-12-03,Delivered
4511,5,TRK00000240,2025-01-29,2025-01-31,Delivered
17058,3,TRK00000241,2024-07-13,2024-07-17,Shipped
3592,2,TRK00000242,2024-07-26,2024-08-05,Delivered
12812,6,TRK00000243,2025-03-15,2025-03-22,Delivered
1013,4,TRK00000244,2026-03-17,2026-03-21,Shipped
8133,7,TRK00000245,2026-05-17,2026-05-22,Delivered
7862,9,TRK00000246,2025-11-25,2025-12-04,Delivered
3230,2,TRK00000247,2025-04-22,2025-04-26,Delivered
6643,8,TRK00000248,2025-03-07,2025-03-11,Delivered
14380,3,TRK00000249,2025-01-26,2025-01-29,Delivered
8694,4,TRK00000250,2025-09-14,2025-09-21,In Transit
7366,8,TRK00000251,2025-02-05,2025-02-15,Delivered
7806,6,TRK00000252,2025-02-15,2025-02-23,In Transit
19863,3,TRK00000253,2025-08-14,2025-08-21,Delivered
16811,5,TRK00000254,2025-10-12,2025-10-19,Delivered
10333,3,TRK00000255,2026-04-10,2026-04-12,Delivered
1661,8,TRK00000256,2024-11-11,2024-11-19,In Transit
16107,8,TRK00000257,2025-02-13,2025-02-22,Shipped
17565,2,TRK00000258,2025-09-22,2025-09-27,Delivered
15570,3,TRK00000259,2026-04-04,2026-04-12,Delivered
11721,2,TRK00000260,2025-10-13,2025-10-19,Delivered
26,8,TRK00000261,2025-05-25,2025-05-31,In Transit
7388,9,TRK00000262,2024-08-28,2024-09-05,Delivered
14109,1,TRK00000263,2024-11-05,2024-11-10,Delivered
16130,5,TRK00000264,2025-06-08,2025-06-15,In Transit
18697,10,TRK00000265,2026-01-10,2026-01-12,Shipped
17160,8,TRK00000266,2025-10-20,2025-10-26,Shipped
2421,2,TRK00000267,2025-02-01,2025-02-06,Returned
7758,7,TRK00000268,2026-05-04,2026-05-13,Shipped
5981,6,TRK00000269,2026-04-24,2026-04-27,Returned
4509,3,TRK00000270,2025-11-27,2025-12-01,Delivered
6738,9,TRK00000271,2025-12-18,2025-12-26,Delivered
18033,9,TRK00000272,2025-09-18,2025-09-19,Delivered
594,8,TRK00000273,2025-10-17,2025-10-26,Delivered
9292,8,TRK00000274,2025-05-25,2025-05-27,Delivered
7476,2,TRK00000275,2024-09-04,2024-09-14,Delivered
8048,5,TRK00000276,2025-02-15,2025-02-17,Shipped
1649,3,TRK00000277,2026-02-18,2026-02-24,Delivered
15399,2,TRK00000278,2026-06-29,2026-07-03,Shipped
4507,8,TRK00000279,2025-05-01,2025-05-07,Delivered
10011,10,TRK00000280,2026-04-18,2026-04-23,Delivered
256,5,TRK00000281,2024-12-14,2024-12-24,Delivered
1924,3,TRK00000282,2024-12-24,2025-01-02,In Transit
7698,2,TRK00000283,2024-12-29,2025-01-06,Shipped
10852,2,TRK00000284,2025-02-15,2025-02-23,In Transit
14748,9,TRK00000285,2026-02-22,2026-03-04,Delivered
6336,2,TRK00000286,2025-02-26,2025-03-04,Shipped
8145,7,TRK00000287,2026-06-29,2026-07-05,Delivered
9771,3,TRK00000288,2025-03-01,2025-03-10,In Transit
11978,8,TRK00000289,2024-12-04,2024-12-08,Delivered
15769,7,TRK00000290,2026-02-25,2026-03-05,Delivered
6917,10,TRK00000291,2025-12-17,2025-12-22,Delivered
7262,9,TRK00000292,2025-10-19,2025-10-27,Delivered
19189,4,TRK00000293,2025-07-04,2025-07-06,Delivered
7892,7,TRK00000294,2025-07-21,2025-07-27,Shipped
17997,8,TRK00000295,2025-08-17,2025-08-18,Delivered
19543,7,TRK00000296,2026-04-19,2026-04-23,Shipped
19546,10,TRK00000297,2024-11-05,2024-11-08,Delivered
5410,7,TRK00000298,2025-08-05,2025-08-10,Delivered
2804,3,TRK00000299,2025-11-30,2025-12-10,Delivered
3372,4,TRK00000300,2025-09-28,2025-10-08,Delivered
10474,1,TRK00000301,2026-01-16,2026-01-19,Returned
1884,2,TRK00000302,2024-07-28,2024-07-29,Delivered
7587,3,TRK00000303,2025-10-18,2025-10-21,Delivered
19493,5,TRK00000304,2025-11-08,2025-11-12,Shipped
14123,1,TRK00000305,2024-08-17,2024-08-26,Delivered
15462,9,TRK00000306,2024-08-26,2024-09-03,Delivered
9313,8,TRK00000307,2024-08-21,2024-08-30,Delivered
17776,7,TRK00000308,2026-01-22,2026-01-23,Returned
1365,9,TRK00000309,2025-04-13,2025-04-18,Delivered
17120,8,TRK00000310,2026-04-06,2026-04-16,Delivered
11839,8,TRK00000311,2026-02-21,2026-03-02,Delivered
11078,9,TRK00000312,2026-02-04,2026-02-09,Delivered
12893,2,TRK00000313,2025-05-14,2025-05-18,Delivered
12847,2,TRK00000314,2024-10-22,2024-10-24,Delivered
5820,10,TRK00000315,2025-11-01,2025-11-09,Delivered
13209,4,TRK00000316,2026-01-14,2026-01-20,Shipped
540,2,TRK00000317,2025-11-21,2025-11-23,Delivered
17367,2,TRK00000318,2025-01-13,2025-01-22,Delivered
3113,6,TRK00000319,2024-07-26,2024-08-02,Delivered
4926,3,TRK00000320,2024-07-25,2024-08-02,Delivered
18444,6,TRK00000321,2025-01-29,2025-02-04,In Transit
71,6,TRK00000322,2026-06-22,2026-06-29,Delivered
6570,9,TRK00000323,2025-08-25,2025-09-04,Delivered
4092,8,TRK00000324,2026-04-29,2026-05-07,Delivered
2250,1,TRK00000325,2025-10-30,2025-11-06,Delivered
16418,10,TRK00000326,2024-09-21,2024-09-23,Delivered
11609,7,TRK00000327,2024-11-30,2024-12-02,Delivered
17756,10,TRK00000328,2026-01-31,2026-02-09,Delivered
8687,4,TRK00000329,2024-11-18,2024-11-24,Delivered
8441,9,TRK00000330,2026-07-10,2026-07-20,In Transit
16667,1,TRK00000331,2024-09-16,2024-09-22,Delivered
10881,8,TRK00000332,2025-07-02,2025-07-04,Delivered
16929,1,TRK00000333,2025-12-11,2025-12-17,Shipped
1817,8,TRK00000334,2025-10-19,2025-10-29,Shipped
13117,10,TRK00000335,2025-04-12,2025-04-20,In Transit
11175,8,TRK00000336,2025-05-21,2025-05-22,Delivered
11997,5,TRK00000337,2024-09-28,2024-10-01,Delivered
1622,2,TRK00000338,2025-04-07,2025-04-08,Delivered
7414,10,TRK00000339,2025-01-08,2025-01-13,In Transit
8281,5,TRK00000340,2025-08-16,2025-08-23,Delivered
9323,8,TRK00000341,2024-10-09,2024-10-18,Delivered
18055,6,TRK00000342,2026-06-22,2026-06-30,Returned
2763,4,TRK00000343,2025-08-08,2025-08-17,Delivered
9109,7,TRK00000344,2024-11-06,2024-11-10,In Transit
13911,4,TRK00000345,2025-03-19,2025-03-27,Delivered
7628,4,TRK00000346,2026-03-23,2026-03-24,Delivered
8491,2,TRK00000347,2025-07-29,2025-08-08,Delivered
1355,10,TRK00000348,2025-04-07,2025-04-12,Shipped
3364,3,TRK00000349,2026-04-06,2026-04-08,In Transit
6576,7,TRK00000350,2025-08-02,2025-08-08,Delivered
2289,3,TRK00000351,2026-05-04,2026-05-06,In Transit
9847,10,TRK00000352,2024-11-13,2024-11-16,Delivered
14981,3,TRK00000353,2025-05-30,2025-06-01,Shipped
12446,7,TRK00000354,2025-02-22,2025-02-27,Shipped
13056,9,TRK00000355,2025-01-25,2025-02-01,Delivered
4996,7,TRK00000356,2024-10-27,2024-11-06,Delivered
19339,5,TRK00000357,2024-11-16,2024-11-23,Shipped
1949,10,TRK00000358,2025-01-22,2025-01-27,Delivered
10139,9,TRK00000359,2025-07-02,2025-07-09,Delivered
7809,4,TRK00000360,2025-06-25,2025-06-26,Delivered
5426,6,TRK00000361,2024-08-02,2024-08-10,In Transit
444,10,TRK00000362,2025-02-15,2025-02-25,Delivered
9233,5,TRK00000363,2026-06-10,2026-06-15,In Transit
5109,5,TRK00000364,2026-06-23,2026-07-03,Delivered
16605,1,TRK00000365,2024-10-07,2024-10-13,Shipped
16773,4,TRK00000366,2025-08-17,2025-08-19,Returned
10404,10,TRK00000367,2025-09-25,2025-10-05,Shipped
222,9,TRK00000368,2025-12-15,2025-12-21,Delivered
9800,10,TRK00000369,2024-08-19,2024-08-27,Delivered
873,6,TRK00000370,2026-04-08,2026-04-18,Shipped
16355,1,TRK00000371,2024-12-25,2025-01-04,Delivered
16824,6,TRK00000372,2026-05-18,2026-05-22,Delivered
7497,1,TRK00000373,2025-06-28,2025-07-08,Delivered
1715,4,TRK00000374,2025-05-21,2025-05-23,Delivered
14290,3,TRK00000375,2025-08-20,2025-08-21,In Transit
8255,2,TRK00000376,2024-12-12,2024-12-15,Delivered
17221,4,TRK00000377,2025-04-24,2025-04-25,Shipped
18390,10,TRK00000378,2025-05-20,2025-05-22,Delivered
17234,9,TRK00000379,2025-11-25,2025-12-03,Delivered
9972,6,TRK00000380,2024-12-18,2024-12-22,Delivered
11558,10,TRK00000381,2024-11-09,2024-11-13,In Transit
7987,10,TRK00000382,2026-01-02,2026-01-09,Shipped
12795,8,TRK00000383,2025-01-02,2025-01-09,Delivered
8902,10,TRK00000384,2026-04-29,2026-05-04,Shipped
15484,8,TRK00000385,2024-09-11,2024-09-17,Delivered
16198,1,TRK00000386,2025-12-10,2025-12-16,Delivered
607,7,TRK00000387,2024-12-24,2024-12-28,Delivered
16617,5,TRK00000388,2025-11-26,2025-12-04,Delivered
378,10,TRK00000389,2025-06-27,2025-06-29,Delivered
3671,8,TRK00000390,2024-09-14,2024-09-19,Shipped
5123,7,TRK00000391,2025-02-18,2025-02-19,Returned
16329,2,TRK00000392,2025-08-09,2025-08-17,Shipped
11419,3,TRK00000393,2025-12-19,2025-12-20,Delivered
2348,9,TRK00000394,2024-12-21,2024-12-22,Delivered
3499,4,TRK00000395,2026-02-11,2026-02-15,Returned
4317,7,TRK00000396,2025-04-20,2025-04-25,Delivered
9776,9,TRK00000397,2025-08-28,2025-08-31,In Transit
9412,3,TRK00000398,2025-02-04,2025-02-12,Delivered
7077,6,TRK00000399,2025-12-14,2025-12-24,In Transit
10934,1,TRK00000400,2026-05-20,2026-05-26,In Transit
15620,4,TRK00000401,2025-05-22,2025-05-29,Delivered
8479,8,TRK00000402,2025-10-02,2025-10-06,Delivered
2961,8,TRK00000403,2025-11-15,2025-11-20,Delivered
6844,5,TRK00000404,2025-07-17,2025-07-27,Delivered
16141,7,TRK00000405,2025-06-05,2025-06-09,Shipped
6335,8,TRK00000406,2024-07-26,2024-07-29,Delivered
11060,7,TRK00000407,2025-12-14,2025-12-17,Delivered
18755,6,TRK00000408,2025-12-25,2026-01-01,Delivered
17882,4,TRK00000409,2025-02-21,2025-02-24,Returned
6480,2,TRK00000410,2026-06-13,2026-06-20,Shipped
17267,8,TRK00000411,2025-04-10,2025-04-19,Shipped
1507,6,TRK00000412,2026-03-02,2026-03-08,Delivered
4663,10,TRK00000413,2024-12-22,2024-12-23,Shipped
9523,8,TRK00000414,2026-05-26,2026-06-01,Delivered
18614,1,TRK00000415,2025-06-01,2025-06-06,Shipped
4719,10,TRK00000416,2025-09-29,2025-10-03,Delivered
10232,3,TRK00000417,2025-12-04,2025-12-13,Shipped
13807,4,TRK00000418,2025-07-20,2025-07-23,In Transit
11991,7,TRK00000419,2025-11-08,2025-11-15,Delivered
12680,9,TRK00000420,2025-02-18,2025-02-23,Delivered
18396,10,TRK00000421,2024-08-20,2024-08-23,Delivered
11392,10,TRK00000422,2026-02-13,2026-02-21,Delivered
534,7,TRK00000423,2026-01-27,2026-01-31,Delivered
12258,8,TRK00000424,2025-11-12,2025-11-15,Shipped
16666,1,TRK00000425,2026-05-16,2026-05-22,Returned
17123,10,TRK00000426,2024-10-19,2024-10-26,Delivered
4931,6,TRK00000427,2025-04-04,2025-04-14,Delivered
15313,7,TRK00000428,2025-12-26,2026-01-05,Delivered
3259,7,TRK00000429,2024-10-11,2024-10-17,Delivered
5457,9,TRK00000430,2026-03-24,2026-03-26,Delivered
11431,4,TRK00000431,2024-10-02,2024-10-05,Delivered
8133,2,TRK00000432,2025-11-01,2025-11-03,Delivered
3539,1,TRK00000433,2026-03-06,2026-03-07,Shipped
2400,6,TRK00000434,2025-05-16,2025-05-22,Shipped
14455,6,TRK00000435,2025-09-05,2025-09-07,Returned
14067,9,TRK00000436,2026-01-22,2026-01-27,Delivered
12825,1,TRK00000437,2025-09-02,2025-09-08,Delivered
6574,4,TRK00000438,2024-11-04,2024-11-08,Delivered
3679,9,TRK00000439,2024-11-16,2024-11-21,Delivered
8881,2,TRK00000440,2025-03-04,2025-03-10,Delivered
19264,3,TRK00000441,2024-12-16,2024-12-26,Shipped
9968,9,TRK00000442,2026-04-02,2026-04-10,Delivered
14642,6,TRK00000443,2025-11-13,2025-11-15,Delivered
17908,6,TRK00000444,2024-10-15,2024-10-17,Delivered
13011,3,TRK00000445,2024-07-13,2024-07-19,Delivered
4910,1,TRK00000446,2024-11-03,2024-11-06,Delivered
10092,1,TRK00000447,2025-01-16,2025-01-24,Shipped
18130,9,TRK00000448,2025-10-28,2025-11-07,Shipped
14838,7,TRK00000449,2025-03-14,2025-03-16,Shipped
