Order_ID,Transaction_ID,Payment_Method,Payment_Date,Amount,Payment_Status
118,TXN00000118,Debit Card,2025-09-21 15:47:44,19211.39,Success
119,TXN00000119,Credit Card,2024-07-21 03:00:44,22985.6,Success
120,TXN00000120,Net Banking,2025-03-21 02:38:40,14201.46,Success
121,TXN00000121,Debit Card,2026-04-04 23:30:25,16147.59,Success
122,TXN00000122,UPI,2025-07-13 14:21:46,17091.82,Pending
123,TXN00000123,Debit Card,2026-04-30 03:37:12,17417.34,Success
124,TXN00000124,Wallet,2024-08-15 01:52:31,4636.63,Success
125,TXN00000125,Debit Card,2025-01-17 03:26:47,23549.97,Success
126,TXN00000126,Net Banking,2026-03-30 08:11:34,3886.22,Success
127,TXN00000127,Wallet,2025-09-02 16:37:10,1122.73,Success
128,TXN00000128,Net Banking,2025-03-20 19:18:43,10445.52,Success
129,TXN00000129,Net Banking,2026-04-01 15:34:52,4269.38,Success
130,TXN00000130,Net Banking,2025-12-24 23:59:57,15450.23,Success
131,TXN00000131,Cash,2025-04-06 05:32:02,29561.47,Success
132,TXN00000132,Cash,2025-10-27 02:32:32,562.09,Success
133,TXN00000133,Debit Card,2024-12-15 01:48:35,16552.34,Success
134,TXN00000134,Debit Card,2025-07-16 19:29:52,9042.91,Success
135,TXN00000135,Cash,2024-10-05 01:26:21,21258.03,Success
136,TXN00000136,UPI,2025-01-28 17:20:42,10106.21,Pending
137,TXN00000137,Wallet,2026-06-22 05:52:58,14211.25,Success
138,TXN00000138,Cash,2025-08-04 22:18:32,21006.31,Success
139,TXN00000139,Net Banking,2026-05-17 01:32:46,5623.39,Success
140,TXN00000140,Net Banking,2025-02-03 20:26:32,18123.11,Success
141,TXN00000141,Debit Card,2025-05-25 09:46:47,1311.98,Success
142,TXN00000142,UPI,2024-09-24 15:27:51,10542.67,Success
143,TXN00000143,Net Banking,2025-03-09 16:20:56,21849.21,Success
144,TXN00000144,Debit Card,2025-08-25 11:26:33,17209.56,Success
145,TXN00000145,Cash,2025-04-10 04:45:02,9070.46,Success
146,TXN00000146,UPI,2024-09-10 19:29:34,18277.93,Success
147,TXN00000147,UPI,2025-03-01 20:04:34,20316.2,Success
148,TXN00000148,Net Banking,2025-01-21 02:09:50,11404.86,Success
149,TXN00000149,UPI,2025-11-06 20:39:54,21248.58,Success
150,TXN00000150,Cash,2024-10-05 22:01:47,4132.9,Success
151,TXN00000151,UPI,2024-09-25 02:54:08,847.44,Success
152,TXN00000152,Wallet,2026-02-08 23:55:00,13121.03,Success
153,TXN00000153,Credit Card,2025-10-30 09:33:20,29896.89,Success
154,TXN00000154,UPI,2025-01-30 18:39:32,15499.48,Success
155,TXN00000155,Cash,2025-05-20 00:43:08,20748.31,Success
156,TXN00000156,Cash,2026-07-09 19:10:54,710.22,Success
157,TXN00000157,Debit Card,2025-07-19 18:54:06,21915.15,Success
158,TXN00000158,Credit Card,2025-06-01 23:40:27,12168.12,Success
159,TXN00000159,Credit Card,2025-02-12 23:09:30,1931.99,Success
160,TXN00000160,Credit Card,2025-12-27 09:31:23,8053.96,Success
161,TXN00000161,Debit Card,2025-10-09 23:54:12,22862.68,Success
162,TXN00000162,Net Banking,2024-12-17 03:00:02,21271.97,Success
163,TXN00000163,Wallet,2024-11-06 15:38:14,29281.11,Success
164,TXN00000164,Debit Card,2025-10-17 16:23:01,11237.5,Success
165,TXN00000165,Net Banking,2025-12-02 15:31:21,11245.59,Success
166,TXN00000166,Debit Card,2025-11-25 13:21:13,29724.36,Success
167,TXN00000167,Wallet,2025-11-27 07:13:03,9150.88,Success
168,TXN00000168,UPI,2025-05-10 09:45:13,10276.27,Success
169,TXN00000169,Wallet,2025-06-28 20:50:47,8454.1,Success
170,TXN00000170,Credit Card,2026-01-23 14:37:07,27798.14,Success
171,TXN00000171,Credit Card,2026-06-27 03:38:00,8827.3,Success
172,TXN00000172,Cash,2024-11-30 20:34:05,12411.7,Success
173,TXN00000173,Credit Card,2024-08-09 12:16:55,5823.96,Success
174,TXN00000174,Debit Card,2024-09-24 18:54:53,22346.92,Success
175,TXN00000175,Cash,2025-06-01 19:33:59,1917.19,Failed
176,TXN00000176,Cash,2025-02-08 18:53:47,6156.44,Success
177,TXN00000177,Debit Card,2026-06-23 01:21:39,5019.84,Success
178,TXN00000178,Debit Card,2025-12-10 07:38:25,10918.75,Success
179,TXN00000179,Debit Card,2025-11-07 03:45:08,9524.74,Refunded
180,TXN00000180,Net Banking,2026-04-10 01:45:30,26312.38,Pending
181,TXN00000181,Cash,2025-12-26 21:25:53,11520.36,Success
182,TXN00000182,Net Banking,2026-04-02 05:12:43,25550.49,Success
183,TXN00000183,UPI,2024-10-24 02:00:12,10357.09,Success
184,TXN00000184,Wallet,2026-03-05 19:12:57,23234.42,Success
185,TXN00000185,Credit Card,2025-11-26 03:26:14,14674.59,Success
186,TXN00000186,Credit Card,2025-02-25 15:05:09,15776.04,Success
187,TXN00000187,Cash,2025-07-19 08:14:12,28779.06,Success
188,TXN00000188,Net Banking,2026-01-09 06:27:54,8973.82,Success
189,TXN00000189,Wallet,2024-08-17 15:48:38,19065.45,Success
190,TXN00000190,Cash,2026-05-29 07:18:59,1344.05,Success
191,TXN00000191,Cash,2025-01-26 06:56:44,28089.32,Pending
192,TXN00000192,Net Banking,2025-08-30 18:46:50,11614.06,Success
193,TXN00000193,Net Banking,2026-04-18 22:34:14,13655.51,Success
194,TXN00000194,Debit Card,2026-07-07 10:15:58,4564.04,Success
195,TXN00000195,UPI,2025-11-27 09:55:59,26523.38,Success
196,TXN00000196,UPI,2026-05-19 14:52:48,17986.31,Success
197,TXN00000197,Net Banking,2024-07-21 03:03:08,21992.55,Success
198,TXN00000198,Wallet,2025-05-22 22:52:56,17330.26,Success
199,TXN00000199,Cash,2026-02-15 22:39:19,16290.38,Success
200,TXN00000200,Debit Card,2025-05-29 04:39:04,26611.12,Success
201,TXN00000201,Net Banking,2024-12-17 09:21:52,4868.48,Pending
202,TXN00000202,Net Banking,2025-06-02 15:32:11,7045.01,Success
203,TXN00000203,Wallet,2025-02-25 06:03:50,6856.11,Pending
204,TXN00000204,Debit Card,2025-05-29 23:22:20,12521.84,Success
205,TXN00000205,UPI,2025-07-21 04:29:17,25952.99,Success
206,TXN00000206,Net Banking,2025-06-19 08:10:35,27247.9,Pending
207,TXN00000207,Credit Card,2025-04-10 19:29:32,1891.4,Success
208,TXN00000208,Debit Card,2025-05-01 13:39:48,12992.54,Success
209,TXN00000209,Cash,2024-10-11 09:21:57,14603.42,Success
210,TXN00000210,Debit Card,2026-03-14 18:08:53,25072.76,Success
211,TXN00000211,Wallet,2026-01-30 11:27:16,1259.85,Success
212,TXN00000212,Net Banking,2025-11-29 08:22:28,16084.04,Success
213,TXN00000213,Credit Card,2025-01-06 19:42:05,12080.82,Success
214,TXN00000214,Net Banking,2025-04-05 00:42:35,14745.45,Success
215,TXN00000215,Wallet,2026-05-06 14:10:38,10599.61,Success
216,TXN00000216,Cash,2024-09-14 03:37:39,18460.12,Success
217,TXN00000217,Credit Card,2025-07-20 15:01:19,24677.78,Pending
218,TXN00000218,Net Banking,2026-05-27 07:32:27,11594.47,Success
219,TXN00000219,Wallet,2025-06-23 15:06:47,28859.99,Success
220,TXN00000220,Wallet,2025-01-26 17:13:46,26721.83,Success
221,TXN00000221,Debit Card,2025-02-18 08:03:03,20121.46,Success
222,TXN00000222,Cash,2025-08-18 05:54:26,19520.58,Success
223,TXN00000223,Cash,2026-01-03 14:20:31,29051.38,Success
224,TXN00000224,Cash,2026-03-11 03:41:31,8774.39,Success
225,TXN00000225,Cash,2025-10-08 19:39:34,14553.72,Success
226,TXN00000226,Debit Card,2025-03-30 19:05:07,9214.86,Success
227,TXN00000227,Debit Card,2026-05-26 21:47:37,3033.87,Success
228,TXN00000228,Debit Card,2026-02-10 12:22:47,18314.41,Success
229,TXN00000229,Credit Card,2025-09-27 05:53:30,29701.2,Success
230,TXN00000230,Debit Card,2026-06-28 01:57:20,20205.41,Success
231,TXN00000231,Debit Card,2024-12-09 18:41:47,2341.23,Success
232,TXN00000232,Debit Card,2024-08-31 09:31:45,16040.5,Success
233,TXN00000233,UPI,2026-02-09 07:16:07,17356.19,Success
234,TXN00000234,Debit Card,2026-02-05 01:15:15,9143.84,Success
235,TXN00000235,Cash,2024-10-10 17:14:08,20122.48,Success
236,TXN00000236,Debit Card,2024-10-23 22:58:22,28529.4,Pending
237,TXN00000237,Cash,2024-07-14 19:20:30,14609.79,Success
238,TXN00000238,Cash,2024-09-05 16:48:14,9668.88,Success
239,TXN00000239,Cash,2026-07-04 16:01:38,2661.19,Success
240,TXN00000240,Cash,2025-10-04 02:04:57,15570.1,Success
241,TXN00000241,Wallet,2025-09-24 00:33:46,21522.02,Success
242,TXN00000242,Credit Card,2024-12-23 19:59:55,29273.67,Success
243,TXN00000243,Credit Card,2025-06-16 05:35:00,3989.93,Success
244,TXN00000244,Credit Card,2025-08-10 07:02:29,14842.32,Success
245,TXN00000245,Credit Card,2025-08-27 08:13:12,2238.44,Success
246,TXN00000246,Net Banking,2024-07-16 05:37:52,25368.57,Success
247,TXN00000247,UPI,2026-03-27 09:55:41,5724.74,Pending
248,TXN00000248,Credit Card,2025-10-01 23:21:23,16599.81,Pending
249,TXN00000249,Credit Card,2025-08-30 23:45:48,9500.28,Success
250,TXN00000250,Cash,2025-12-27 14:38:53,24019.86,Success
251,TXN00000251,Net Banking,2025-08-30 04:27:07,13018.57,Success
252,TXN00000252,Debit Card,2024-11-13 08:25:15,16720.33,Success
253,TXN00000253,UPI,2026-06-28 18:32:42,25860.09,Pending
254,TXN00000254,Cash,2024-08-16 09:23:51,7771.23,Success
255,TXN00000255,Net Banking,2026-06-04 22:46:59,6739.33,Success
256,TXN00000256,Debit Card,2025-10-17 11:22:11,7637.12,Success
257,TXN00000257,Cash,2025-05-07 10:16:18,26255.47,Success
258,TXN00000258,UPI,2024-08-03 14:13:05,894.52,Success
259,TXN00000259,UPI,2025-06-18 01:53:54,8709.63,Success
260,TXN00000260,Net Banking,2025-04-14 08:52:38,3497.55,Success
261,TXN00000261,UPI,2026-07-11 00:49:51,4340.26,Success
262,TXN00000262,Wallet,2026-04-23 10:10:28,27843.16,Success
263,TXN00000263,Net Banking,2025-06-20 16:31:45,24481.23,Pending
264,TXN00000264,Wallet,2025-09-12 06:40:45,22550.84,Success
265,TXN00000265,Cash,2025-01-24 13:17:35,10938.32,Failed
266,TXN00000266,Net Banking,2024-10-18 11:30:02,4597.22,Success
267,TXN00000267,Net Banking,2025-07-31 08:00:15,24333.24,Success
268,TXN00000268,UPI,2025-11-15 00:03:43,5724.13,Success
269,TXN00000269,Credit Card,2025-07-13 11:28:51,29615.42,Success
270,TXN00000270,UPI,2024-09-27 01:26:05,15494.04,Success
271,TXN00000271,UPI,2024-07-23 20:01:41,22794.43,Success
272,TXN00000272,Debit Card,2024-09-04 01:52:15,14434.14,Success
273,TXN00000273,Credit Card,2025-03-30 07:38:12,7868.63,Success
274,TXN00000274,Credit Card,2025-08-31 12:33:17,14252.39,Success
275,TXN00000275,Credit Card,2025-06-15 03:51:32,14033.82,Success
276,TXN00000276,Cash,2025-01-14 11:35:59,15969.27,Success
277,TXN00000277,Debit Card,2025-07-31 20:22:41,8198.74,Success
278,TXN00000278,Net Banking,2024-12-31 00:03:01,18339.92,Success
279,TXN00000279,Credit Card,2024-12-10 15:50:05,5446.71,Success
280,TXN00000280,Net Banking,2025-05-10 13:31:23,24830.35,Success
281,TXN00000281,Credit Card,2024-12-06 14:17:30,16416.12,Success
282,TXN00000282,UPI,2026-06-29 03:59:29,21989.08,Success
283,TXN00000283,Net Banking,2026-06-02 06:36:56,20566.76,Success
284,TXN00000284,Cash,2026-06-25 22:02:42,19684.05,Success
285,TXN00000285,Net Banking,2025-11-11 16:17:27,20490.71,Success
286,TXN00000286,Net Banking,2025-10-24 02:09:32,3372.99,Success
287,TXN00000287,Credit Card,2025-06-24 17:09:52,29268.2,Failed
288,TXN00000288,Debit Card,2025-01-05 01:12:37,23196.2,Pending
289,TXN00000289,UPI,2025-03-16 20:54:53,6682.87,Pending
290,TXN00000290,Credit Card,2026-01-16 11:25:31,6157.05,Success
291,TXN00000291,Cash,2025-09-04 04:50:15,712.45,Success
292,TXN00000292,Wallet,2024-11-10 01:45:35,25082.29,Success
293,TXN00000293,Wallet,2025-11-22 14:49:19,15604.4,Success
294,TXN00000294,Cash,2026-01-12 18:58:53,8526.12,Success
295,TXN00000295,Wallet,2024-09-28 13:57:42,24300.11,Pending
296,TXN00000296,Wallet,2025-04-03 19:31:46,13715.78,Success
297,TXN00000297,Credit Card,2024-09-18 21:04:02,2121.36,Failed
298,TXN00000298,Net Banking,2024-07-25 04:48:18,7254.94,Success
299,TXN00000299,Debit Card,2026-06-11 14:22:05,6425.55,Success
300,TXN00000300,Cash,2025-09-03 06:04:17,15695.33,Success
301,TXN00000301,Debit Card,2025-06-15 11:59:55,13958.46,Success
302,TXN00000302,Cash,2025-11-30 22:15:27,1833.81,Success
303,TXN00000303,UPI,2025-06-28 17:25:58,25407.46,Success
304,TXN00000304,UPI,2024-09-07 17:21:02,22570.91,Success
305,TXN00000305,Credit Card,2024-11-01 11:14:05,15685.03,Success
306,TXN00000306,Cash,2026-03-12 09:48:17,27992.67,Success
307,TXN00000307,Debit Card,2025-02-14 15:08:43,28359.41,Success
308,TXN00000308,UPI,2024-07-24 21:11:13,9254.74,Success
309,TXN00000309,Net Banking,2026-03-23 20:32:09,16087.39,Success
310,TXN00000310,Net Banking,2025-11-12 17:34:29,5933.25,Pending
311,TXN00000311,Credit Card,2026-03-04 06:25:38,26845.98,Success
312,TXN00000312,Net Banking,2026-03-10 09:36:43,26175.31,Success
313,TXN00000313,Credit Card,2024-10-31 10:15:19,22143.32,Success
314,TXN00000314,Net Banking,2025-10-26 00:06:35,958.08,Success
315,TXN00000315,Credit Card,2026-04-19 20:55:00,2731.04,Success
316,TXN00000316,Net Banking,2025-07-04 00:17:57,9221.15,Success
317,TXN00000317,Cash,2025-05-25 10:57:51,25267.09,Success
318,TXN00000318,Credit Card,2025-12-11 17:02:01,24815.52,Pending
319,TXN00000319,UPI,2026-03-19 05:34:58,9616.09,Success
320,TXN00000320,Net Banking,2024-07-14 17:16:37,29678.95,Pending
321,TXN00000321,Cash,2025-04-01 18:07:12,16481.76,Success
322,TXN00000322,Debit Card,2025-07-12 23:57:18,6728.64,Success
323,TXN00000323,Wallet,2025-05-30 17:05:40,29143.87,Success
324,TXN00000324,Wallet,2025-07-01 10:03:52,19223.68,Failed
325,TXN00000325,UPI,2024-08-20 13:32:21,990.45,Success
326,TXN00000326,Debit Card,2026-01-01 02:15:23,15344.51,Success
327,TXN00000327,Debit Card,2026-04-19 16:05:18,20794.33,Success
328,TXN00000328,Debit Card,2025-03-21 07:17:40,13040.07,Success
329,TXN00000329,Credit Card,2025-11-15 03:41:45,23865.04,Success
330,TXN00000330,Debit Card,2024-12-31 12:48:48,17921.79,Success
331,TXN00000331,Wallet,2026-01-10 12:30:27,22739,Pending
332,TXN00000332,Debit Card,2025-05-29 22:28:05,22521.42,Success
333,TXN00000333,UPI,2024-12-25 19:01:37,8261.6,Success
334,TXN00000334,Cash,2026-01-14 16:59:58,6459.62,Success
335,TXN00000335,Cash,2026-07-08 01:16:04,2382.93,Success
336,TXN00000336,Net Banking,2026-05-31 03:36:57,9874.3,Success
337,TXN00000337,Credit Card,2025-12-29 22:28:01,16426.12,Success
338,TXN00000338,Credit Card,2024-08-05 02:03:31,11469.78,Pending
339,TXN00000339,Cash,2026-07-02 00:14:43,12811.08,Success
340,TXN00000340,Net Banking,2025-04-15 18:08:02,13115.35,Success
341,TXN00000341,Credit Card,2025-05-06 10:15:32,14684.8,Success
342,TXN00000342,Wallet,2025-12-07 06:50:44,16710.44,Success
343,TXN00000343,Net Banking,2025-04-02 19:52:35,6802.9,Success
344,TXN00000344,Net Banking,2025-06-15 11:35:15,28754.31,Success
345,TXN00000345,Net Banking,2026-04-05 13:45:13,7463.48,Pending
346,TXN00000346,Net Banking,2025-02-05 05:48:51,25801.84,Success
347,TXN00000347,Debit Card,2025-11-01 07:08:18,28931.91,Success
348,TXN00000348,Debit Card,2024-12-23 02:14:55,21383.44,Success
349,TXN00000349,UPI,2024-07-17 19:32:41,10545.16,Success
350,TXN00000350,Credit Card,2025-09-13 19:55:06,13375.66,Failed
351,TXN00000351,Wallet,2026-03-16 10:22:29,12398.87,Success
352,TXN00000352,UPI,2025-11-23 13:18:15,21848.62,Success
353,TXN00000353,Debit Card,2025-12-16 00:21:53,27793.26,Success
354,TXN00000354,Net Banking,2026-06-02 10:57:05,19095.09,Success
355,TXN00000355,UPI,2025-08-25 12:20:31,3148.83,Success
356,TXN00000356,Debit Card,2024-12-08 19:16:00,23384.22,Success
357,TXN00000357,Net Banking,2025-11-28 14:16:58,17566.2,Success
358,TXN00000358,Credit Card,2024-11-06 05:31:36,6709.56,Success
359,TXN00000359,Credit Card,2025-01-23 02:25:10,4712.53,Success
360,TXN00000360,Credit Card,2026-04-24 21:38:17,17656.59,Success
361,TXN00000361,UPI,2026-03-08 19:54:03,22248.11,Failed
362,TXN00000362,Cash,2024-12-30 07:55:10,8407.94,Success
363,TXN00000363,Cash,2026-01-18 12:03:49,2858.43,Success
364,TXN00000364,Cash,2025-07-25 06:37:02,18347.72,Success
365,TXN00000365,Wallet,2026-03-07 15:05:07,21080.62,Success
366,TXN00000366,Wallet,2025-06-01 18:03:26,13077.83,Success
367,TXN00000367,Credit Card,2025-09-09 17:07:09,7511.14,Success
368,TXN00000368,Debit Card,2025-01-16 07:12:02,18795.13,Success
369,TXN00000369,UPI,2025-09-01 14:35:23,7953.92,Success
370,TXN00000370,Credit Card,2025-06-15 00:37:25,28497.13,Pending
371,TXN00000371,Wallet,2025-05-03 07:13:10,21799.3,Success
372,TXN00000372,Wallet,2025-12-14 23:55:16,19762.69,Success
373,TXN00000373,Credit Card,2026-03-01 00:47:27,20872.91,Success
374,TXN00000374,Net Banking,2026-05-27 12:48:24,14454.37,Success
375,TXN00000375,Cash,2025-08-22 20:59:17,16667.08,Refunded
376,TXN00000376,Cash,2025-09-30 09:05:05,15154.61,Success
377,TXN00000377,Net Banking,2025-01-18 17:56:28,4374.09,Success
378,TXN00000378,Net Banking,2025-01-01 11:53:32,4527.35,Success
379,TXN00000379,Wallet,2025-12-14 20:17:24,19813.3,Pending
380,TXN00000380,Credit Card,2026-05-03 07:12:28,10991.25,Success
381,TXN00000381,UPI,2025-09-22 15:05:24,14236.1,Failed
382,TXN00000382,Net Banking,2025-10-20 14:22:20,15291.53,Success
383,TXN00000383,Debit Card,2024-09-29 01:14:48,24294.09,Failed
384,TXN00000384,Cash,2025-11-18 09:37:30,24352.68,Success
385,TXN00000385,UPI,2024-12-11 16:54:06,26539,Success
386,TXN00000386,Wallet,2025-06-30 16:28:04,19158.27,Success
387,TXN00000387,Net Banking,2024-08-13 08:39:53,25513.58,Success
388,TXN00000388,Cash,2024-08-05 20:21:17,19754.11,Success
389,TXN00000389,UPI,2026-01-14 03:19:44,7088.13,Success
390,TXN00000390,Debit Card,2025-06-23 07:47:39,17650.28,Success
391,TXN00000391,Net Banking,2026-05-26 08:10:08,24713.02,Success
392,TXN00000392,Cash,2026-03-07 05:38:59,17361.01,Success
393,TXN00000393,UPI,2025-10-02 07:02:42,2579.82,Success
394,TXN00000394,Debit Card,2026-06-16 13:10:52,21715.21,Success
