Product_Code,Product_Name,Category_ID,Supplier_ID,Brand,Cost_Price,Selling_Price,Profit_Margin,Product_Status,Launch_Date,Warranty_Months
PROD00055,Eos Headphones,2,2,Apple,20941.71,24321.7,16.14,Available,2025-11-05,6
PROD00056,Eius Laptop,14,3,Puma,22112.11,28533.47,29.04,Available,2025-08-08,18
PROD00057,Et Keyboard,11,9,Adidas,28645.53,40072.23,39.89,Available,2025-03-12,6
PROD00058,Quasi Laptop,16,8,Tata,13276.99,17666.36,33.06,Available,2026-06-19,24
PROD00059,Officia TV,2,5,OnePlus,2479.04,3063.1,23.56,Available,2023-08-29,24
PROD00060,Praesentium TV,14,8,Boat,27888.34,38750.85,38.95,Available,2024-02-20,18
PROD00061,Qui Speaker,4,3,Sony,26366.12,30191.84,14.51,Available,2023-05-26,18
PROD00062,Doloremque Bag,19,4,Philips,21336.42,25763.73,20.75,Available,2024-07-13,12
PROD00063,Quam Laptop,8,3,HP,27910.07,37952.11,35.98,Available,2023-06-16,12
PROD00064,Laborum Keyboard,3,10,Apple,35649.26,47224.57,32.47,Available,2021-12-05,36
PROD00065,Illo Keyboard,5,5,Nike,26662.56,37068.96,39.03,Available,2025-04-24,12
PROD00066,Mollitia Speaker,16,9,Sony,24890.95,33508.2,34.62,Available,2021-09-05,12
PROD00067,Voluptatum Phone,9,2,Mi,20717.96,24005.9,15.87,Available,2022-02-27,36
PROD00068,Sequi Bag,13,9,Tata,6702.79,8198.18,22.31,Discontinued,2023-06-24,36
PROD00069,Repellat Shirt,16,7,Boat,13930.24,18808.61,35.02,Available,2025-10-07,18
PROD00070,Veniam Speaker,15,9,Lenovo,31765.75,35625.29,12.15,Available,2024-06-08,12
PROD00071,Illo Laptop,1,10,Puma,3090.54,4324.59,39.93,Available,2024-02-12,12
PROD00072,Libero Laptop,10,4,Nike,1756.12,2320.89,32.16,Available,2024-07-03,24
PROD00073,Sint Keyboard,12,9,HP,30685.1,40096.22,30.67,Available,2024-02-02,24
PROD00074,Recusandae Phone,1,10,Apple,47029.39,55014.98,16.98,Available,2022-07-22,36
PROD00075,Et Speaker,3,8,Adidas,15131.48,19130.73,26.43,Available,2022-01-03,36
PROD00076,Nobis TV,2,2,OnePlus,44111.88,55603.02,26.05,Available,2021-12-05,24
PROD00077,Vitae Bag,20,7,HP,35812.7,44973.59,25.58,Available,2021-09-14,12
PROD00078,Assumenda Bag,12,4,Sony,45008.4,50035.84,11.17,Available,2025-09-12,36
PROD00079,Sapiente Headphones,18,6,Boat,39020.04,47081.58,20.66,Available,2025-11-16,12
PROD00080,Deserunt Headphones,4,8,Nike,35925.66,45539.37,26.76,Available,2021-08-04,6
PROD00081,Praesentium Speaker,4,10,Sony,9111.45,10198.45,11.93,Available,2022-12-25,6
PROD00082,Quae Shirt,14,5,Adidas,42052.36,50416.57,19.89,Available,2022-12-22,12
PROD00083,Et Shirt,9,4,Apple,25344.46,27967.61,10.35,Out of Stock,2021-09-10,18
PROD00084,Dolorum Phone,7,3,Mi,5450.52,7183.79,31.8,Available,2025-08-03,24
PROD00085,Excepturi TV,8,6,Mi,49796.22,65168.31,30.87,Available,2022-01-04,24
PROD00086,Iusto Laptop,16,9,Philips,6129.73,8119.44,32.46,Available,2026-05-08,36
PROD00087,Eos Phone,5,7,Samsung,19423.56,24974.81,28.58,Available,2024-09-27,24
PROD00088,Sunt Shirt,10,10,Philips,2703.43,3394.97,25.58,Available,2024-12-21,36
PROD00089,Doloribus Shoes,10,1,Apple,3373.97,3903.68,15.7,Available,2023-11-04,24
PROD00090,Saepe Shirt,17,10,Tata,16148.9,22133.68,37.06,Out of Stock,2024-11-14,24
PROD00091,Assumenda Shoes,7,6,Dell,33920.62,39466.64,16.35,Available,2022-04-09,24
PROD00092,Ratione Keyboard,12,1,OnePlus,42637.83,48547.43,13.86,Out of Stock,2021-08-10,12
PROD00093,Asperiores Headphones,4,9,Nike,35200.68,43332.04,23.1,Available,2025-12-31,36
PROD00094,Enim Watch,10,6,Nike,336.44,376.91,12.03,Available,2023-05-18,12
PROD00095,Iste TV,16,2,OnePlus,22914.86,26954.75,17.63,Available,2023-09-05,24
PROD00096,Sunt Watch,19,7,Boat,10669.86,13120.73,22.97,Available,2022-02-28,6
PROD00097,Perspiciatis Speaker,15,9,Puma,15842.05,20835.46,31.52,Available,2022-08-16,36
PROD00098,Quibusdam Watch,17,7,Apple,6988.69,8909.18,27.48,Out of Stock,2022-04-18,36
PROD00099,Nobis Headphones,3,5,Dell,10926.72,13882.4,27.05,Available,2022-12-03,18
PROD00100,Nobis TV,18,5,Adidas,14697.56,16320.17,11.04,Out of Stock,2026-02-21,18
PROD00101,Rerum Headphones,15,9,HP,26364.93,36275.51,37.59,Available,2022-11-21,18
PROD00102,Quas Phone,3,5,OnePlus,12895.83,16266.8,26.14,Available,2022-12-06,36
PROD00103,Dolore Watch,14,10,Philips,10034.38,11886.73,18.46,Available,2022-12-17,6
PROD00104,Libero Shirt,17,9,Philips,15113.86,19359.34,28.09,Available,2022-09-27,12
PROD00105,Vitae Shirt,2,10,HP,22213.79,30070.81,35.37,Available,2022-03-18,36
PROD00106,Maiores Shoes,16,10,Lenovo,29711.9,38167.91,28.46,Available,2025-07-17,24
PROD00107,Facilis Phone,13,6,Boat,29265.05,39010.31,33.3,Available,2023-11-13,24
PROD00108,Quasi Watch,8,8,Tata,9357.98,13002.91,38.95,Available,2022-12-07,6
PROD00109,Architecto Keyboard,3,3,Apple,46419.81,58609.65,26.26,Available,2023-12-26,36
PROD00110,Accusamus Laptop,6,4,LG,40656.87,52894.59,30.1,Available,2023-08-03,24
PROD00111,Id Headphones,2,8,HP,4039.7,5506.92,36.32,Available,2022-03-02,24
PROD00112,Quidem Laptop,17,2,Sony,38619.67,44234.97,14.54,Available,2023-09-26,24
PROD00113,Dolore Headphones,5,6,Apple,47693.6,55067.03,15.46,Available,2025-03-06,6
PROD00114,Incidunt Headphones,16,6,Apple,23712.36,28855.57,21.69,Out of Stock,2022-04-19,18
PROD00115,Deserunt Headphones,4,4,Mi,28098.69,34544.53,22.94,Available,2025-11-05,12
PROD00116,Quos Headphones,10,10,Nike,10434.86,11654.7,11.69,Available,2024-07-08,36
PROD00117,Ullam TV,14,1,Boat,36614.86,44029.37,20.25,Available,2022-05-15,6
PROD00118,Voluptas Watch,17,4,Puma,24028.57,32056.52,33.41,Available,2023-08-28,12
PROD00119,Esse Shoes,20,6,Mi,34714.18,42576.94,22.65,Available,2022-04-05,6
PROD00120,Doloremque Laptop,19,3,Apple,18562.89,24916.97,34.23,Available,2023-06-11,24
PROD00121,Laborum Phone,3,10,Nike,41237.17,51760.9,25.52,Out of Stock,2024-01-20,18
PROD00122,Repudiandae Watch,9,3,Puma,42237.8,49435.12,17.04,Discontinued,2024-09-14,36
PROD00123,Expedita Shoes,8,1,Lenovo,7302.95,8035.44,10.03,Available,2022-05-12,12
PROD00124,Sapiente Shoes,7,10,Dell,38728.87,45258.56,16.86,Available,2024-05-25,24
PROD00125,Voluptates Laptop,10,5,Tata,9448.48,12103.5,28.1,Out of Stock,2025-09-23,6
PROD00126,Quia TV,19,2,Adidas,24116.39,30979.91,28.46,Available,2021-11-19,18
PROD00127,Eius Laptop,3,6,Lenovo,43609.51,60146.24,37.92,Available,2024-11-18,18
PROD00128,Vero Laptop,11,2,Dell,42302.62,47053.2,11.23,Available,2022-01-20,6
PROD00129,Vitae Speaker,16,3,Lenovo,14641.42,16970.87,15.91,Available,2022-04-09,36
PROD00130,Accusamus Shirt,18,9,Adidas,17629.02,24028.35,36.3,Available,2025-05-17,36
PROD00131,Voluptas Keyboard,1,1,Mi,36460.72,46990.58,28.88,Available,2021-09-28,36
PROD00132,Hic Laptop,7,8,Adidas,19358.49,24753.7,27.87,Available,2025-02-20,18
PROD00133,Aut TV,5,2,Samsung,44700.93,50118.68,12.12,Available,2022-01-11,24
PROD00134,Recusandae Shirt,14,3,OnePlus,11615.33,12975.49,11.71,Available,2025-12-15,6
PROD00135,Beatae Phone,13,4,Boat,34643.01,39836,14.99,Available,2025-02-01,12
PROD00136,Assumenda Shirt,9,2,Philips,13414.46,16366.98,22.01,Available,2025-09-23,36
PROD00137,Fuga Shoes,10,7,HP,21927.25,27786.21,26.72,Available,2021-07-22,12
PROD00138,Praesentium Headphones,9,1,Sony,40860.66,52718.42,29.02,Available,2025-02-06,12
PROD00139,Qui Laptop,16,6,Boat,5697.59,7614.83,33.65,Available,2025-05-14,6
PROD00140,Natus Shoes,16,2,Dell,24338.19,31454.68,29.24,Available,2021-08-04,36
PROD00141,Excepturi Shoes,10,10,Samsung,45373.79,53423.1,17.74,Available,2022-05-24,12
PROD00142,Dolores Watch,13,8,Mi,20826.5,24814.77,19.15,Available,2024-07-01,6
PROD00143,Quis Bag,17,5,OnePlus,32773.27,42762.56,30.48,Available,2025-11-30,24
PROD00144,Consectetur Phone,6,3,LG,15033,18174.9,20.9,Available,2023-02-22,12
PROD00145,Nostrum Shirt,3,1,Sony,11838.4,14869.03,25.6,Available,2023-05-04,24
PROD00146,Ad Bag,6,4,HP,14523.54,18209.61,25.38,Available,2023-02-26,12
PROD00147,Quod Shoes,12,7,Nike,48540.53,54239.19,11.74,Available,2025-02-15,6
PROD00148,Sint Bag,15,9,Dell,40978.78,56304.84,37.4,Out of Stock,2023-10-21,36
PROD00149,Ipsam Headphones,16,2,Nike,16719.69,21834.24,30.59,Available,2023-02-05,18
PROD00150,Accusamus Bag,16,7,Samsung,31012.16,43296.08,39.61,Out of Stock,2026-07-03,18
PROD00151,Placeat Laptop,11,7,Mi,31342.36,42656.95,36.1,Available,2022-06-22,6
PROD00152,Quod Phone,8,3,Apple,44703.65,59531.85,33.17,Available,2023-07-03,6
PROD00153,Eligendi Watch,13,6,HP,38989.67,43325.32,11.12,Available,2021-11-17,36
PROD00154,Aliquid Bag,9,4,LG,37923.88,48603.24,28.16,Available,2022-06-19,24
PROD00155,Quaerat Bag,8,6,Adidas,40457.85,49771.25,23.02,Available,2025-05-25,36
PROD00156,Vel Bag,4,7,Puma,2975.79,4059.57,36.42,Discontinued,2023-03-10,18
PROD00157,Iusto Speaker,17,9,HP,20474.67,25738.71,25.71,Available,2021-11-23,24
PROD00158,Eveniet Shoes,11,1,Boat,25682.71,28682.45,11.68,Available,2022-09-20,36
PROD00159,Est Headphones,6,8,Puma,42464.91,52087.46,22.66,Out of Stock,2026-04-10,12
PROD00160,Quia Bag,13,9,OnePlus,46937.95,55245.97,17.7,Available,2024-07-29,18
PROD00161,Ab Watch,10,9,Samsung,24112.91,27399.5,13.63,Discontinued,2024-05-18,24
PROD00162,Ipsa Laptop,16,10,Philips,48516.61,63843.01,31.59,Available,2021-09-26,6
PROD00163,Et Bag,16,1,Samsung,18206.2,21232.07,16.62,Available,2024-04-25,12
PROD00164,Non Bag,9,1,Puma,5859.8,7715.6,31.67,Available,2023-11-09,12
PROD00165,Perspiciatis TV,12,1,Nike,37952.66,51471.4,35.62,Out of Stock,2023-01-07,12
PROD00166,Optio Speaker,9,10,Apple,1403.29,1552.6,10.64,Available,2024-09-15,18
PROD00167,Corrupti Shirt,1,10,Boat,29886.11,40313.37,34.89,Available,2024-02-14,24
PROD00168,Quidem Shirt,6,5,LG,48088.09,56397.71,17.28,Available,2026-06-13,18
PROD00169,Consequatur Shirt,3,4,Apple,34044.12,39436.71,15.84,Out of Stock,2025-04-10,36
PROD00170,Voluptatum Phone,20,1,Samsung,38076.53,43612.86,14.54,Available,2025-06-10,36
PROD00171,Labore Shoes,5,7,Dell,25182.41,32578.48,29.37,Available,2022-09-19,6
PROD00172,Voluptatibus Laptop,12,4,OnePlus,24583.92,29758.84,21.05,Available,2023-12-21,36
PROD00173,Ad Watch,2,7,Apple,30042.97,34056.71,13.36,Out of Stock,2023-03-11,24
PROD00174,Nobis Shirt,7,4,OnePlus,41193.08,52368.76,27.13,Available,2025-05-27,18
PROD00175,Voluptates Keyboard,18,7,Adidas,26080.81,31143.1,19.41,Available,2025-12-23,18
PROD00176,Temporibus Phone,9,1,OnePlus,24007.58,33212.09,38.34,Available,2023-11-01,36
PROD00177,Saepe Laptop,6,7,Tata,34938.6,41321.88,18.27,Available,2026-04-28,12
PROD00178,Expedita Shoes,12,4,Adidas,38449.83,46731.92,21.54,Available,2024-03-08,18
PROD00179,Quo Laptop,14,4,Apple,18428.12,23753.85,28.9,Available,2023-08-23,36
PROD00180,In Shoes,2,4,Samsung,48564.57,64576.31,32.97,Available,2026-03-30,24
PROD00181,Dicta Watch,8,2,Dell,36855.09,49518.5,34.36,Available,2024-08-28,6
PROD00182,Nesciunt Bag,8,7,Lenovo,27019.75,37608.79,39.19,Available,2023-02-07,18
PROD00183,Dignissimos Watch,19,2,Boat,13077.19,16349.1,25.02,Available,2024-01-04,12
PROD00184,Animi Bag,7,6,Apple,44863.15,60861.35,35.66,Out of Stock,2024-05-13,24
PROD00185,Nobis Shoes,20,2,LG,18127.29,23889.96,31.79,Available,2023-08-11,12
PROD00186,Delectus Laptop,16,8,Mi,46684.73,63038.39,35.03,Available,2026-01-09,24
PROD00187,Aliquam Speaker,13,6,Philips,48867.99,58167.57,19.03,Out of Stock,2022-12-18,36
PROD00188,Distinctio Keyboard,9,6,Dell,36734.73,46120.45,25.55,Available,2023-01-23,6
PROD00189,Nemo Headphones,1,5,Mi,45000.47,62564.15,39.03,Available,2023-07-02,24
PROD00190,Illo Speaker,13,10,OnePlus,49383.99,61611.47,24.76,Available,2026-06-21,36
PROD00191,Inventore Keyboard,16,10,Samsung,25039.09,31997.45,27.79,Available,2023-08-20,18
PROD00192,Nam Watch,20,9,Nike,48921.53,53882.17,10.14,Available,2024-12-13,6
PROD00193,Voluptatem TV,1,6,Samsung,19539.68,22695.34,16.15,Available,2025-12-13,6
PROD00194,Nesciunt Laptop,6,7,LG,18695.78,26046.96,39.32,Available,2022-09-07,24
PROD00195,Non Shoes,5,6,Boat,44587.17,58012.37,30.11,Available,2023-11-24,6
PROD00196,Fugiat Shirt,13,1,LG,44815.06,59975.99,33.83,Available,2022-12-30,18
PROD00197,Itaque Shoes,5,6,Adidas,14884.96,20571.01,38.2,Out of Stock,2026-01-12,12
PROD00198,Eveniet Watch,13,2,Dell,14196.91,15622.28,10.04,Available,2025-04-12,36
PROD00199,Beatae Watch,5,10,Sony,17376.73,19437.61,11.86,Available,2024-10-12,6
PROD00200,Minima Headphones,7,4,Tata,207.5,248.21,19.62,Available,2021-09-15,6
PROD00201,Debitis Shoes,6,8,Puma,48043.75,64796.61,34.87,Available,2024-05-04,12
PROD00202,Cupiditate Headphones,20,9,Tata,8021.85,9830.78,22.55,Available,2025-06-18,18
PROD00203,Ea Shoes,3,5,Boat,27780.49,36614.69,31.8,Available,2024-03-08,24
PROD00204,Similique TV,16,4,Boat,34864.26,41373.42,18.67,Discontinued,2025-04-08,24
PROD00205,Voluptas Bag,6,8,Philips,36056.29,47028.22,30.43,Available,2023-05-06,6
PROD00206,Vel Shirt,4,3,OnePlus,14758.37,18025.87,22.14,Out of Stock,2023-11-05,36
PROD00207,Consectetur Laptop,9,7,Adidas,13932.75,16263.7,16.73,Available,2021-09-07,12
PROD00208,Praesentium Shirt,18,2,Mi,25221.9,28407.43,12.63,Available,2025-07-17,6
PROD00209,Eum Bag,11,2,Mi,9088.18,12197.25,34.21,Available,2022-03-10,36
PROD00210,Eum Keyboard,10,6,Boat,49818.92,58243.3,16.91,Available,2025-10-05,18
PROD00211,A Shoes,14,5,HP,22449.45,29244.9,30.27,Available,2025-11-23,6
PROD00212,Veniam Watch,14,10,Samsung,40999.53,57030.35,39.1,Available,2024-12-15,12
PROD00213,Quia Headphones,8,4,Dell,14787.75,20256.26,36.98,Available,2024-08-06,24
PROD00214,Molestiae Bag,19,7,LG,19069.14,21241.12,11.39,Discontinued,2024-11-28,24
PROD00215,Hic Speaker,7,1,OnePlus,21006.24,24497.48,16.62,Available,2026-02-15,36
PROD00216,In Headphones,19,3,Boat,1085.43,1230.55,13.37,Available,2022-03-07,36
PROD00217,Ex Phone,12,4,LG,2127.67,2868.31,34.81,Available,2022-10-14,24
PROD00218,Exercitationem Shoes,9,4,Apple,5874.59,6887.96,17.25,Available,2024-10-28,24
PROD00219,Quisquam Shoes,10,8,Lenovo,48694.64,68118.93,39.89,Available,2021-08-02,12
PROD00220,Consequuntur Shoes,16,9,Mi,8353.54,10884.66,30.3,Available,2026-03-14,18
PROD00221,Ipsa Shoes,5,5,HP,1249.31,1716.3,37.38,Discontinued,2023-04-14,36
PROD00222,Ullam Watch,15,10,Samsung,4523.16,6180.45,36.64,Available,2025-03-09,24
PROD00223,Repellat Keyboard,13,2,Samsung,10991.15,12721.16,15.74,Available,2022-12-19,18
PROD00224,Quisquam Phone,12,10,Tata,14414.97,19298.76,33.88,Available,2021-12-21,6
PROD00225,Dignissimos TV,6,1,OnePlus,28403.25,31908.21,12.34,Out of Stock,2022-05-14,36
PROD00226,Reiciendis Bag,5,1,Boat,15321.09,19850,29.56,Available,2021-11-16,6
PROD00227,Iusto Laptop,6,3,Tata,16627.47,22021.42,32.44,Available,2026-01-17,24
PROD00228,Quaerat Bag,5,6,Dell,11303.74,15751.76,39.35,Out of Stock,2021-08-29,18
PROD00229,Neque Phone,17,2,Sony,40422.27,48983.71,21.18,Out of Stock,2026-05-21,12
PROD00230,Nisi Watch,18,9,Sony,37732.76,42309.74,12.13,Available,2023-06-23,12
PROD00231,Provident Watch,12,1,Samsung,16255.09,19694.67,21.16,Available,2024-07-15,24
PROD00232,Minima Phone,19,1,OnePlus,39245.88,43688.51,11.32,Discontinued,2022-01-11,18
PROD00233,Molestias Speaker,4,7,HP,3865.47,4903.74,26.86,Available,2024-02-26,6
PROD00234,Quasi Watch,13,9,Nike,6665.69,7514.9,12.74,Discontinued,2026-04-11,12
PROD00235,Magnam Speaker,12,4,Philips,47777.1,61068.69,27.82,Available,2026-06-21,24
PROD00236,Atque Headphones,11,5,HP,7788.11,10649.46,36.74,Out of Stock,2022-02-23,18
PROD00237,Accusantium Shoes,10,2,Tata,9052.01,11401.91,25.96,Out of Stock,2022-11-19,6
PROD00238,Doloribus Shoes,9,5,Apple,49134.15,54445.55,10.81,Available,2024-09-21,12
PROD00239,Natus Speaker,11,10,Mi,23251.41,27185.55,16.92,Available,2024-06-25,36
PROD00240,Mollitia Shoes,12,3,Puma,13635.03,15260.33,11.92,Available,2024-01-16,12
PROD00241,Perspiciatis Headphones,4,4,LG,44975.69,50327.8,11.9,Available,2025-08-06,18
PROD00242,Culpa Headphones,12,6,Mi,24159.5,30315.34,25.48,Available,2025-11-13,18
PROD00243,Beatae Watch,7,3,Lenovo,25578,28373.68,10.93,Available,2021-12-26,12
PROD00244,Debitis Shoes,20,9,Dell,22122.3,29570.88,33.67,Available,2021-11-09,36
PROD00245,Possimus TV,8,8,Adidas,999.65,1354.33,35.48,Available,2023-10-13,36
PROD00246,Fugiat Laptop,13,10,Nike,47425.89,53501.15,12.81,Discontinued,2023-03-13,6
PROD00247,Eum Bag,17,8,Samsung,26852.2,34335.91,27.87,Available,2026-06-12,6
PROD00248,Architecto Shirt,18,7,Dell,24085.04,27536.43,14.33,Available,2022-02-19,6
PROD00249,Deleniti Laptop,8,10,OnePlus,18117.97,23392.11,29.11,Available,2022-07-29,36
PROD00250,Consequatur Laptop,1,2,Sony,46440.32,64143.37,38.12,Available,2025-07-31,6
PROD00251,Ipsa Bag,14,1,Nike,13015.73,18004.66,38.33,Out of Stock,2024-02-18,6
PROD00252,Earum Watch,9,10,Philips,6948.89,7804.99,12.32,Out of Stock,2025-03-16,6
PROD00253,Quibusdam Watch,7,8,Apple,7448.99,8726.49,17.15,Available,2024-01-31,12
PROD00254,Quis Bag,20,1,Puma,42604.88,52527.56,23.29,Available,2024-07-18,12
PROD00255,Deleniti Watch,12,1,Mi,34554.78,44347.6,28.34,Available,2025-06-24,6
PROD00256,Impedit Keyboard,20,7,Dell,28487.98,37641.17,32.13,Available,2026-01-28,6
PROD00257,Neque Bag,15,6,Dell,43438.75,49181.35,13.22,Available,2021-08-21,12
PROD00258,Quae Headphones,15,7,Boat,30617.44,34720.18,13.4,Available,2021-10-08,18
PROD00259,Reprehenderit Keyboard,6,4,Nike,29312.18,37065.25,26.45,Available,2022-09-24,36
PROD00260,Provident TV,15,4,Adidas,33691.93,39588.02,17.5,Available,2025-03-01,36
PROD00261,Praesentium Speaker,4,4,Sony,16069.16,18725.39,16.53,Available,2022-11-20,18
PROD00262,Illum Bag,16,2,Apple,3481.75,4311.45,23.83,Available,2022-08-23,24
PROD00263,Ad Laptop,5,5,Tata,20393.1,25756.49,26.3,Available,2024-05-04,6
PROD00264,Doloribus Speaker,7,2,Philips,21332.07,24327.09,14.04,Out of Stock,2021-10-05,36
PROD00265,Asperiores Shirt,9,10,HP,33364.35,41685.42,24.94,Available,2026-01-08,36
PROD00266,Est Shirt,7,3,Nike,37014.09,46656.26,26.05,Available,2025-03-23,6
PROD00267,Molestiae Headphones,3,2,Lenovo,30644.02,40293.82,31.49,Available,2025-09-08,6
PROD00268,Quod Keyboard,5,8,Samsung,4907.16,5427.32,10.6,Available,2024-08-19,6
PROD00269,Facilis Speaker,1,8,Nike,9951.12,11858.75,19.17,Out of Stock,2026-06-30,6
PROD00270,Veritatis Speaker,3,3,Nike,1479.63,1735.16,17.27,Available,2021-09-05,6
PROD00271,Dolores Shirt,9,1,Puma,10023.45,13304.13,32.73,Available,2023-08-26,6
PROD00272,Incidunt Watch,9,9,Boat,48665.39,54218.11,11.41,Available,2025-09-17,6
PROD00273,Eveniet Shirt,6,6,Tata,5146.45,7043.95,36.87,Available,2025-04-04,12
PROD00274,Sit Speaker,1,5,Sony,18240.85,25398.56,39.24,Available,2025-03-28,12
PROD00275,Voluptatum Speaker,3,6,Boat,38404.92,42625.62,10.99,Available,2025-09-18,36
PROD00276,Itaque Laptop,17,6,Philips,1412.19,1736.99,23,Available,2022-04-15,24
PROD00277,Cupiditate Laptop,19,2,Tata,37063.03,45750.6,23.44,Out of Stock,2025-02-20,12
PROD00278,Labore Shirt,1,4,Boat,28293.8,34792.89,22.97,Available,2021-12-11,18
PROD00279,Deserunt Headphones,19,6,Apple,19551.62,27299.93,39.63,Available,2021-10-08,24
