Order_Number,Customer_ID,Store_ID,Coupon_ID,Order_Date,Order_Status,Payment_Status,Order_Total,Tax_Amount,Shipping_Charge,Net_Amount
ORD000023,3540,4,3,2025-11-11 14:21:02,Pending,Pending,21814.56,3926.62,0,25741.18
ORD000024,3265,3,6,2025-09-23 01:45:24,Shipped,Paid,14295.87,2573.26,0,16869.13
ORD000025,4154,8,12,2025-10-07 15:13:21,Pending,Pending,22737.67,4092.78,0,26830.45
ORD000026,4467,1,3,2026-05-30 15:08:47,Cancelled,Refunded,24363.35,4385.4,0,28748.75
ORD000027,4023,12,16,2025-04-14 03:00:24,Delivered,Paid,16050.04,2889.01,0,18939.05
ORD000028,4272,16,18,2024-10-17 10:56:49,Delivered,Paid,23465.8,4223.84,0,27689.64
ORD000029,3688,23,20,2024-08-20 16:05:37,Returned,Refunded,16160.92,2908.97,0,19069.89
ORD000030,2316,9,10,2025-03-05 00:13:14,Cancelled,Refunded,12025.28,2164.55,0,14189.83
ORD000031,3833,2,12,2026-03-21 00:33:06,Delivered,Paid,4118.28,741.29,0,4859.57
ORD000032,3278,13,15,2025-12-12 12:47:05,Confirmed,Paid,21164.06,3809.53,0,24973.59
ORD000033,1372,4,19,2025-10-13 02:52:20,Delivered,Paid,23684.14,4263.15,0,27947.29
ORD000034,4783,13,7,2026-04-27 01:19:09,Delivered,Paid,8706.77,1567.22,0,10273.99
ORD000035,273,6,13,2025-12-20 09:32:54,Delivered,Paid,9792.62,1762.67,0,11555.29
ORD000036,61,17,14,2025-08-02 15:23:49,Delivered,Paid,24787.86,4461.81,0,29249.67
ORD000037,4231,18,15,2025-05-28 18:35:49,Shipped,Paid,3585.22,645.34,0,4230.56
ORD000038,3970,9,6,2025-04-24 14:43:49,Pending,Pending,13699.07,2465.83,0,16164.9
ORD000039,365,11,5,2024-10-04 06:14:24,Delivered,Paid,10233.08,1841.95,0,12075.03
ORD000040,228,16,9,2025-12-03 02:24:22,Delivered,Paid,1218.3,219.29,0,1437.59
ORD000041,3410,19,6,2026-03-28 02:06:16,Confirmed,Paid,24261.45,4367.06,0,28628.51
ORD000042,4104,8,1,2025-01-26 10:24:39,Shipped,Paid,7969.72,1434.55,0,9404.27
ORD000043,1813,19,2,2025-05-03 21:28:26,Delivered,Paid,20744.62,3734.03,0,24478.65
ORD000044,885,23,5,2025-01-20 14:30:37,Delivered,Paid,20440.91,3679.36,0,24120.27
ORD000045,118,22,13,2026-03-24 02:59:40,Delivered,Paid,16150.67,2907.12,0,19057.79
ORD000046,1925,19,19,2026-04-06 19:29:11,Shipped,Paid,10581.14,1904.61,0,12485.75
ORD000047,788,12,12,2024-09-22 02:50:02,Confirmed,Paid,14100.23,2538.04,0,16638.27
ORD000048,4575,24,3,2025-11-05 19:32:07,Delivered,Paid,8652.73,1557.49,0,10210.22
ORD000049,4730,17,16,2026-02-25 01:04:03,Delivered,Paid,21065.46,3791.78,0,24857.24
ORD000050,4633,6,13,2024-12-01 06:09:09,Shipped,Paid,13372.94,2407.13,0,15780.07
ORD000051,1439,21,20,2024-09-05 16:40:51,Delivered,Paid,8527.24,1534.9,0,10062.14
ORD000052,4849,15,8,2025-03-19 10:14:38,Cancelled,Refunded,2952.14,531.39,0,3483.53
ORD000053,3785,15,3,2026-03-14 02:55:18,Delivered,Paid,4508.76,811.58,0,5320.34
ORD000054,1575,21,16,2025-03-01 06:14:26,Pending,Pending,16765.04,3017.71,0,19782.75
ORD000055,2952,1,20,2025-10-10 12:25:10,Pending,Pending,4519.72,813.55,0,5333.27
ORD000056,4976,17,14,2026-02-02 00:56:40,Delivered,Paid,18460.12,3322.82,0,21782.94
ORD000057,4607,5,10,2025-10-27 12:12:58,Confirmed,Paid,11886.12,2139.5,0,14025.62
ORD000058,1781,1,17,2025-08-01 00:00:57,Delivered,Paid,15206.88,2737.24,0,17944.12
ORD000059,431,12,4,2024-09-15 13:08:22,Delivered,Paid,5486.82,987.63,0,6474.45
ORD000060,2056,15,1,2024-11-10 22:39:03,Delivered,Paid,7328.19,1319.07,0,8647.26
ORD000061,1957,8,13,2026-02-19 13:59:25,Delivered,Paid,10676.33,1921.74,0,12598.07
ORD000062,4320,22,17,2025-11-22 11:22:22,Delivered,Paid,12707.61,2287.37,0,14994.98
ORD000063,4079,6,11,2024-10-25 08:18:53,Delivered,Paid,2594.81,467.07,0,3061.88
ORD000064,1202,3,1,2024-11-26 12:51:28,Delivered,Paid,3006.26,541.13,0,3547.39
ORD000065,663,23,6,2025-06-06 15:43:58,Delivered,Paid,18508.2,3331.48,0,21839.68
ORD000066,1768,2,3,2025-06-08 22:12:35,Delivered,Paid,815.12,146.72,50,1011.84
ORD000067,3733,8,5,2025-04-22 18:04:28,Delivered,Paid,23985.06,4317.31,0,28302.37
ORD000068,3303,24,8,2026-03-12 04:26:29,Delivered,Paid,15913.58,2864.44,0,18778.02
ORD000069,876,23,15,2024-12-26 12:51:09,Delivered,Paid,16647.77,2996.6,0,19644.37
ORD000070,693,11,5,2025-06-06 14:32:01,Delivered,Paid,23795.98,4283.28,0,28079.26
ORD000071,1523,19,20,2025-10-07 12:38:44,Delivered,Paid,15987.89,2877.82,0,18865.71
ORD000072,151,23,16,2026-04-05 16:45:35,Delivered,Paid,3382.16,608.79,0,3990.95
ORD000073,373,18,3,2025-06-23 08:22:42,Returned,Refunded,8952.27,1611.41,0,10563.68
ORD000074,1802,17,9,2025-04-10 11:54:43,Shipped,Paid,22171.06,3990.79,0,26161.85
ORD000075,1850,9,17,2026-04-07 05:15:40,Delivered,Paid,1046.06,188.29,0,1234.35
ORD000076,4683,9,7,2025-03-13 00:19:16,Delivered,Paid,23371.05,4206.79,0,27577.84
ORD000077,1237,17,6,2025-03-11 18:13:18,Cancelled,Refunded,666.32,119.94,50,836.26
ORD000078,279,14,6,2025-12-23 05:17:15,Delivered,Paid,23568.58,4242.34,0,27810.92
ORD000079,4530,22,9,2025-05-31 13:32:00,Delivered,Paid,6764.21,1217.56,0,7981.77
ORD000080,4114,19,16,2024-09-19 23:37:37,Confirmed,Paid,15685.93,2823.47,0,18509.4
ORD000081,3710,5,9,2025-08-20 22:09:58,Shipped,Paid,11970.12,2154.62,0,14124.74
ORD000082,2178,16,16,2025-06-22 13:05:12,Delivered,Paid,19657.89,3538.42,0,23196.31
ORD000083,1950,20,11,2025-01-20 15:44:51,Delivered,Paid,13846.69,2492.4,0,16339.09
ORD000084,2903,15,15,2025-06-16 17:04:33,Delivered,Paid,5055.09,909.92,0,5965.01
ORD000085,2011,8,4,2025-06-24 17:34:11,Confirmed,Paid,17743.22,3193.78,0,20937
ORD000086,4916,12,9,2026-05-30 12:58:38,Delivered,Paid,20745.4,3734.17,0,24479.57
ORD000087,2878,20,2,2025-01-23 14:06:02,Delivered,Paid,2904.85,522.87,0,3427.72
ORD000088,2964,4,15,2026-05-25 10:38:52,Delivered,Paid,22207.79,3997.4,0,26205.19
ORD000089,4561,24,1,2026-02-09 06:15:36,Delivered,Paid,14916.14,2684.91,0,17601.05
ORD000090,1979,21,20,2026-03-29 01:36:56,Shipped,Paid,9376.33,1687.74,0,11064.07
ORD000091,1954,17,10,2025-07-16 07:21:37,Confirmed,Paid,22528.9,4055.2,0,26584.1
ORD000092,976,25,2,2025-05-03 06:55:09,Shipped,Paid,21023.34,3784.2,0,24807.54
ORD000093,1569,10,16,2024-08-07 23:12:49,Delivered,Paid,19394.91,3491.08,0,22885.99
ORD000094,743,15,4,2025-08-27 01:55:45,Shipped,Paid,14100.24,2538.04,0,16638.28
ORD000095,1456,23,7,2026-06-20 20:31:41,Delivered,Paid,17477.26,3145.91,0,20623.17
ORD000096,539,2,7,2025-11-03 09:57:58,Delivered,Paid,6593.54,1186.84,0,7780.38
ORD000097,1200,7,5,2026-04-24 07:50:08,Confirmed,Paid,16637.58,2994.76,0,19632.34
ORD000098,4941,1,4,2024-08-29 22:54:22,Cancelled,Refunded,9531.9,1715.74,0,11247.64
ORD000099,4892,23,7,2025-10-22 13:57:55,Confirmed,Paid,19904.36,3582.78,0,23487.14
ORD000100,2779,9,1,2026-02-10 08:35:49,Shipped,Paid,22306.01,4015.08,0,26321.09
ORD000101,1144,4,20,2025-09-19 00:07:59,Delivered,Paid,3256.86,586.23,0,3843.09
ORD000102,1412,15,6,2025-01-17 19:06:13,Shipped,Paid,22568.26,4062.29,0,26630.55
ORD000103,1207,8,12,2025-05-21 01:36:27,Delivered,Paid,4003.1,720.56,0,4723.66
ORD000104,2289,17,12,2026-03-06 12:18:55,Delivered,Paid,8908.12,1603.46,0,10511.58
ORD000105,865,12,1,2024-09-27 18:19:43,Delivered,Paid,14945.21,2690.14,0,17635.35
ORD000106,1960,8,2,2025-02-14 12:53:03,Delivered,Paid,22632.93,4073.93,0,26706.86
ORD000107,584,20,2,2024-07-28 19:44:06,Delivered,Paid,10767.06,1938.07,0,12705.13
ORD000108,1734,15,17,2025-11-20 01:46:52,Delivered,Paid,22657.46,4078.34,0,26735.8
ORD000109,4407,3,9,2025-08-04 19:07:10,Delivered,Paid,23085.49,4155.39,0,27240.88
ORD000110,2553,13,8,2025-03-29 18:31:08,Delivered,Paid,3955.9,712.06,0,4667.96
ORD000111,254,25,3,2026-05-21 16:57:51,Delivered,Paid,24980.2,4496.44,0,29476.64
ORD000112,3925,23,15,2025-12-23 07:02:37,Shipped,Paid,5888.47,1059.92,0,6948.39
ORD000113,1872,19,1,2026-07-01 13:46:38,Delivered,Paid,11195.75,2015.23,0,13210.98
ORD000114,3279,4,16,2025-12-08 22:14:14,Delivered,Paid,5813.79,1046.48,0,6860.27
ORD000115,4439,10,10,2025-12-01 16:03:04,Delivered,Paid,7718.33,1389.3,0,9107.63
ORD000116,2810,9,20,2026-06-26 06:35:57,Confirmed,Paid,23092.85,4156.71,0,27249.56
ORD000117,3618,19,18,2025-07-29 08:13:17,Delivered,Paid,4632.33,833.82,0,5466.15
ORD000118,2919,25,9,2025-09-16 20:28:51,Delivered,Paid,1283.44,231.02,0,1514.46
ORD000119,3118,8,3,2024-10-29 09:42:03,Pending,Pending,14183.75,2553.07,0,16736.82
ORD000120,4337,2,19,2024-08-19 20:32:00,Delivered,Paid,18019.73,3243.55,0,21263.28
ORD000121,4244,19,12,2026-03-10 18:17:08,Delivered,Paid,19770.14,3558.63,0,23328.77
ORD000122,4975,16,15,2024-11-08 11:43:40,Cancelled,Failed,14641.09,2635.4,0,17276.49
ORD000123,2192,15,8,2025-01-08 01:49:15,Delivered,Paid,17657.6,3178.37,0,20835.97
ORD000124,4233,8,5,2025-05-14 14:26:15,Delivered,Paid,22097.3,3977.51,0,26074.81
ORD000125,2701,9,6,2026-02-03 00:44:29,Delivered,Paid,16266.57,2927.98,0,19194.55
ORD000126,2014,9,17,2024-12-05 12:58:44,Delivered,Paid,19783.44,3561.02,0,23344.46
ORD000127,3669,12,7,2025-02-23 08:21:57,Delivered,Paid,17951.41,3231.25,0,21182.66
ORD000128,2554,10,8,2025-12-14 18:04:19,Cancelled,Failed,7633.36,1374,0,9007.36
ORD000129,2726,1,13,2024-09-22 14:06:54,Delivered,Paid,11064.02,1991.52,0,13055.54
ORD000130,1277,20,6,2025-08-03 14:31:21,Delivered,Paid,13150.78,2367.14,0,15517.92
ORD000131,996,25,8,2026-07-10 10:03:24,Delivered,Paid,23205.32,4176.96,0,27382.28
ORD000132,4562,24,19,2024-09-04 16:08:00,Shipped,Paid,16136.06,2904.49,0,19040.55
ORD000133,1755,23,16,2024-08-25 06:07:51,Delivered,Paid,24679.85,4442.37,0,29122.22
ORD000134,1186,7,6,2024-10-09 01:48:17,Delivered,Paid,18522.06,3333.97,0,21856.03
ORD000135,1538,11,15,2026-04-27 07:15:18,Delivered,Paid,12620.67,2271.72,0,14892.39
ORD000136,4990,19,16,2025-07-08 03:41:08,Pending,Pending,22762.76,4097.3,0,26860.06
ORD000137,708,21,5,2025-08-23 17:34:46,Pending,Pending,1957.44,352.34,0,2309.78
ORD000138,18,20,19,2025-02-12 13:58:09,Delivered,Paid,7848.17,1412.67,0,9260.84
ORD000139,3608,13,9,2026-03-16 07:33:24,Delivered,Paid,9227.1,1660.88,0,10887.98
ORD000140,4601,13,1,2025-01-15 09:19:34,Delivered,Paid,12580.49,2264.49,0,14844.98
ORD000141,108,2,13,2024-10-24 09:50:51,Confirmed,Paid,7965.04,1433.71,0,9398.75
ORD000142,4325,6,9,2025-04-07 13:07:39,Delivered,Paid,12751.51,2295.27,0,15046.78
ORD000143,840,3,9,2025-08-19 15:45:23,Pending,Pending,4398.17,791.67,0,5189.84
ORD000144,4729,17,3,2026-06-17 13:36:32,Shipped,Paid,21439.69,3859.14,0,25298.83
ORD000145,3361,6,9,2025-04-14 01:05:20,Pending,Pending,16283.99,2931.12,0,19215.11
ORD000146,3381,17,7,2025-03-01 17:18:49,Delivered,Paid,8744.04,1573.93,0,10317.97
ORD000147,2624,4,16,2024-10-17 12:09:07,Delivered,Paid,6407.36,1153.32,0,7560.68
ORD000148,1118,17,8,2026-05-07 01:56:09,Delivered,Paid,10333.59,1860.05,0,12193.64
ORD000149,236,8,18,2025-08-02 14:39:59,Delivered,Paid,7971.47,1434.86,0,9406.33
ORD000150,4888,10,15,2025-05-06 12:41:55,Shipped,Paid,16591.02,2986.38,0,19577.4
ORD000151,3701,24,3,2025-12-04 05:22:09,Shipped,Paid,5788.78,1041.98,0,6830.76
ORD000152,657,17,18,2026-04-26 17:29:13,Delivered,Paid,4251.84,765.33,0,5017.17
ORD000153,3747,25,4,2024-08-19 02:05:24,Delivered,Paid,1906.03,343.09,0,2249.12
ORD000154,2462,19,14,2025-05-23 18:33:27,Shipped,Paid,19282.37,3470.83,0,22753.2
ORD000155,1849,2,19,2024-08-25 00:35:29,Delivered,Paid,6768.29,1218.29,0,7986.58
ORD000156,2067,14,17,2025-08-01 23:21:42,Shipped,Paid,17197.14,3095.49,0,20292.63
ORD000157,171,4,14,2026-01-25 15:37:08,Pending,Pending,5362.54,965.26,0,6327.8
ORD000158,485,2,6,2026-03-21 08:25:59,Delivered,Paid,1250.71,225.13,0,1475.84
ORD000159,1773,7,7,2025-06-15 13:23:13,Delivered,Paid,12393.62,2230.85,0,14624.47
ORD000160,4729,2,17,2026-02-24 09:22:14,Delivered,Paid,17540.01,3157.2,0,20697.21
ORD000161,2255,10,17,2025-07-13 05:51:17,Cancelled,Failed,15618.98,2811.42,0,18430.4
ORD000162,3374,4,9,2025-03-21 10:50:52,Confirmed,Paid,24414.66,4394.64,0,28809.3
ORD000163,2201,23,14,2025-09-16 00:10:32,Delivered,Paid,19683.39,3543.01,0,23226.4
ORD000164,3702,21,12,2025-01-30 13:58:34,Delivered,Paid,17787.63,3201.77,0,20989.4
ORD000165,3608,1,10,2026-07-05 15:31:32,Pending,Pending,3063.19,551.37,0,3614.56
ORD000166,4589,19,18,2024-09-29 23:29:02,Delivered,Paid,22203.58,3996.64,0,26200.22
ORD000167,4552,2,20,2025-03-14 11:20:57,Delivered,Paid,18797.76,3383.6,0,22181.36
ORD000168,1201,23,2,2024-12-14 08:30:37,Delivered,Paid,16442.89,2959.72,0,19402.61
ORD000169,4844,23,16,2025-09-06 09:57:44,Delivered,Paid,5683.58,1023.04,0,6706.62
ORD000170,2112,19,6,2026-02-05 03:48:56,Confirmed,Paid,7240.01,1303.2,0,8543.21
ORD000171,3595,14,13,2025-09-25 21:07:44,Delivered,Paid,23630.74,4253.53,0,27884.27
ORD000172,1653,20,13,2025-05-14 14:05:44,Delivered,Paid,9249.44,1664.9,0,10914.34
ORD000173,1523,5,9,2025-10-11 08:27:57,Delivered,Paid,16250.83,2925.15,0,19175.98
ORD000174,3776,24,12,2026-02-02 17:44:41,Shipped,Paid,22956.63,4132.19,0,27088.82
ORD000175,1784,25,9,2025-01-07 02:39:12,Delivered,Paid,4577.94,824.03,0,5401.97
ORD000176,967,17,3,2025-11-28 09:25:26,Shipped,Paid,3473.71,625.27,0,4098.98
ORD000177,504,2,2,2025-04-03 18:07:42,Shipped,Paid,22081.91,3974.74,0,26056.65
ORD000178,3485,7,4,2024-10-08 14:07:30,Pending,Pending,5853.88,1053.7,0,6907.58
ORD000179,2188,4,2,2024-11-01 01:49:43,Delivered,Paid,13615.81,2450.85,0,16066.66
ORD000180,2331,8,11,2024-10-27 11:21:20,Delivered,Paid,24996.76,4499.42,0,29496.18
ORD000181,68,10,12,2025-11-24 18:23:38,Shipped,Paid,10141.56,1825.48,0,11967.04
ORD000182,883,12,4,2024-08-09 10:09:35,Confirmed,Paid,19678.31,3542.1,0,23220.41
ORD000183,2983,16,15,2024-08-28 03:17:57,Delivered,Paid,22355.41,4023.97,0,26379.38
ORD000184,4094,23,20,2025-10-29 00:38:28,Delivered,Paid,2330.67,419.52,0,2750.19
ORD000185,281,23,7,2025-01-23 23:13:49,Delivered,Paid,24767.08,4458.07,0,29225.15
ORD000186,87,7,8,2025-03-11 12:18:49,Cancelled,Failed,7804.57,1404.82,0,9209.39
ORD000187,15,1,1,2026-01-14 15:06:56,Shipped,Paid,20969.03,3774.43,0,24743.46
ORD000188,2420,1,10,2025-11-16 01:12:36,Confirmed,Paid,5228.54,941.14,0,6169.68
ORD000189,2430,7,4,2024-10-24 01:57:04,Shipped,Paid,1053.73,189.67,0,1243.4
ORD000190,2312,6,20,2025-02-01 07:20:15,Delivered,Paid,9243.36,1663.8,0,10907.16
ORD000191,3163,9,9,2026-02-20 01:32:12,Cancelled,Refunded,10964.69,1973.64,0,12938.33
ORD000192,869,16,3,2025-11-07 11:25:24,Pending,Pending,956.51,172.17,50,1178.68
ORD000193,2673,22,11,2025-11-21 20:19:56,Confirmed,Paid,15089.12,2716.04,0,17805.16
ORD000194,4543,12,13,2025-01-28 00:08:36,Pending,Pending,11568.37,2082.31,0,13650.68
ORD000195,3550,5,16,2024-10-08 19:45:42,Shipped,Paid,17547.87,3158.62,0,20706.49
ORD000196,1662,14,8,2025-08-03 01:08:48,Delivered,Paid,3231.67,581.7,0,3813.37
ORD000197,3735,6,17,2025-05-17 16:05:33,Shipped,Paid,17441.7,3139.51,0,20581.21
ORD000198,4984,2,15,2026-06-08 08:57:24,Delivered,Paid,1987.22,357.7,0,2344.92
ORD000199,4936,19,10,2025-08-12 10:38:19,Delivered,Paid,8892.83,1600.71,0,10493.54
ORD000200,1259,2,3,2026-05-14 06:32:36,Delivered,Paid,9555.91,1720.06,0,11275.97
ORD000201,1037,1,17,2025-12-02 16:45:21,Shipped,Paid,9027.21,1624.9,0,10652.11
ORD000202,812,21,7,2025-04-23 20:46:12,Confirmed,Paid,23962.1,4313.18,0,28275.28
ORD000203,1008,18,19,2025-12-31 11:40:07,Delivered,Paid,8571.64,1542.9,0,10114.54
ORD000204,1858,19,2,2025-06-12 03:46:22,Shipped,Paid,12255.11,2205.92,0,14461.03
ORD000205,357,3,12,2025-07-22 12:35:34,Pending,Pending,16449.97,2960.99,0,19410.96
ORD000206,4644,7,17,2025-01-28 10:16:59,Delivered,Paid,17036.2,3066.52,0,20102.72
ORD000207,1660,23,1,2026-06-28 20:49:48,Pending,Pending,15229.98,2741.4,0,17971.38
ORD000208,2844,19,5,2025-11-04 13:56:11,Returned,Refunded,23909.4,4303.69,0,28213.09
ORD000209,3657,17,19,2025-12-19 09:20:52,Delivered,Paid,20385.38,3669.37,0,24054.75
ORD000210,2389,15,14,2026-01-24 08:32:04,Delivered,Paid,12324.8,2218.46,0,14543.26
ORD000211,2780,17,2,2025-03-01 10:57:39,Delivered,Paid,18456.49,3322.17,0,21778.66
ORD000212,4178,4,20,2024-10-19 13:53:19,Delivered,Paid,12143.63,2185.85,0,14329.48
ORD000213,4769,7,9,2025-04-29 21:53:20,Cancelled,Failed,5263.2,947.38,0,6210.58
ORD000214,2151,15,20,2025-09-14 17:55:10,Delivered,Paid,3873.58,697.24,0,4570.82
ORD000215,4421,24,9,2026-07-08 04:46:07,Confirmed,Paid,21502.01,3870.36,0,25372.37
ORD000216,2492,1,6,2024-09-29 15:12:29,Confirmed,Paid,15147.25,2726.51,0,17873.76
ORD000217,3366,6,5,2025-10-08 05:29:58,Shipped,Paid,23294.29,4192.97,0,27487.26
ORD000218,3028,24,5,2024-07-17 19:10:35,Delivered,Paid,23465.61,4223.81,0,27689.42
ORD000219,887,14,18,2025-12-16 06:18:02,Cancelled,Failed,19083.29,3434.99,0,22518.28
ORD000220,1207,25,19,2024-09-17 14:15:13,Delivered,Paid,17477.45,3145.94,0,20623.39
ORD000221,4023,6,2,2026-04-09 19:24:23,Pending,Pending,19641.58,3535.48,0,23177.06
ORD000222,3575,22,19,2025-08-18 22:09:10,Shipped,Paid,2084.5,375.21,0,2459.71
ORD000223,3307,20,13,2026-06-15 08:11:21,Shipped,Paid,1936.03,348.49,0,2284.52
ORD000224,289,2,13,2024-11-03 15:03:43,Delivered,Paid,24549.66,4418.94,0,28968.6
ORD000225,512,17,17,2024-12-15 19:33:48,Cancelled,Failed,2264.19,407.55,0,2671.74
ORD000226,131,5,20,2025-02-12 08:37:22,Delivered,Paid,8763.03,1577.35,0,10340.38
ORD000227,3094,2,7,2025-11-12 03:38:38,Delivered,Paid,10119.42,1821.5,0,11940.92
ORD000228,956,15,12,2025-10-22 05:07:32,Delivered,Paid,10143.16,1825.77,0,11968.93
ORD000229,1132,8,4,2025-11-03 06:21:45,Delivered,Paid,8123.58,1462.24,0,9585.82
ORD000230,3385,14,18,2025-11-18 22:27:49,Delivered,Paid,11831.13,2129.6,0,13960.73
ORD000231,906,2,4,2025-04-10 03:20:45,Pending,Pending,928.28,167.09,50,1145.37
ORD000232,2657,24,2,2025-05-20 20:07:04,Delivered,Paid,15610.14,2809.83,0,18419.97
ORD000233,4774,15,1,2025-01-08 23:59:57,Confirmed,Paid,15656.28,2818.13,0,18474.41
ORD000234,1475,3,3,2025-12-07 09:07:24,Delivered,Paid,1876.32,337.74,0,2214.06
ORD000235,3325,16,4,2025-08-27 02:01:26,Cancelled,Failed,17460,3142.8,0,20602.8
ORD000236,778,1,2,2025-05-14 13:04:00,Pending,Pending,24012.98,4322.34,0,28335.32
ORD000237,1817,3,11,2025-08-03 12:19:46,Shipped,Paid,7413.36,1334.4,0,8747.76
ORD000238,2110,15,18,2026-06-08 04:18:34,Shipped,Paid,24846.8,4472.42,0,29319.22
ORD000239,1759,18,3,2026-02-05 13:41:09,Pending,Pending,17233.39,3102.01,0,20335.4
ORD000240,254,25,1,2025-05-19 10:54:06,Pending,Pending,4269.45,768.5,0,5037.95
ORD000241,1188,8,10,2025-01-17 22:32:48,Returned,Refunded,22239.56,4003.12,0,26242.68
ORD000242,1507,22,15,2025-11-21 20:33:51,Confirmed,Paid,24529.25,4415.26,0,28944.51
ORD000243,753,24,9,2025-02-21 05:26:04,Delivered,Paid,10406.98,1873.26,0,12280.24
ORD000244,894,14,1,2025-04-03 07:37:35,Delivered,Paid,2863.65,515.46,0,3379.11
ORD000245,4817,5,12,2025-09-25 12:18:20,Pending,Pending,5695.67,1025.22,0,6720.89
ORD000246,2999,14,11,2026-02-11 19:56:06,Delivered,Paid,1714.29,308.57,0,2022.86
ORD000247,899,21,13,2026-06-11 08:21:12,Confirmed,Paid,23397.21,4211.5,0,27608.71
ORD000248,2954,23,13,2026-01-26 15:32:33,Delivered,Paid,19732.81,3551.91,0,23284.72
ORD000249,3845,17,18,2024-10-11 03:03:05,Delivered,Paid,10547.31,1898.52,0,12445.83
ORD000250,706,24,18,2025-04-19 07:23:52,Delivered,Paid,4802.53,864.46,0,5666.99
ORD000251,2073,7,5,2025-06-26 19:15:30,Delivered,Paid,20410.97,3673.97,0,24084.94
ORD000252,62,13,17,2024-10-18 17:41:44,Delivered,Paid,3048.17,548.67,0,3596.84
ORD000253,4610,13,4,2025-10-29 22:52:22,Delivered,Paid,8832.45,1589.84,0,10422.29
ORD000254,1114,1,18,2025-12-18 06:34:29,Delivered,Paid,9618.53,1731.34,0,11349.87
ORD000255,3521,9,5,2025-03-01 22:21:04,Delivered,Paid,9031.17,1625.61,0,10656.78
ORD000256,4340,23,15,2025-02-28 17:13:17,Delivered,Paid,9226.2,1660.72,0,10886.92
ORD000257,1562,9,9,2026-03-07 01:13:48,Delivered,Paid,16874.06,3037.33,0,19911.39
ORD000258,2807,21,18,2026-03-26 23:45:12,Delivered,Paid,17479.83,3146.37,0,20626.2
ORD000259,2804,24,4,2026-02-13 21:02:48,Delivered,Paid,3466.87,624.04,0,4090.91
ORD000260,2756,25,17,2026-04-16 05:23:52,Shipped,Paid,14833.28,2669.99,0,17503.27
ORD000261,1819,2,18,2024-11-01 19:49:45,Confirmed,Paid,7764.35,1397.58,0,9161.93
ORD000262,3563,8,14,2025-12-03 18:22:53,Confirmed,Paid,24535.8,4416.44,0,28952.24
ORD000263,1207,20,12,2024-08-18 08:57:36,Delivered,Paid,3723.53,670.24,0,4393.77
ORD000264,2682,13,14,2026-05-07 18:43:14,Shipped,Paid,16105.25,2898.94,0,19004.19
ORD000265,2189,23,2,2026-01-10 04:38:09,Delivered,Paid,20063.31,3611.4,0,23674.71
ORD000266,1067,20,19,2025-10-15 06:45:13,Delivered,Paid,23948.92,4310.81,0,28259.73
ORD000267,2547,23,19,2025-05-16 14:45:39,Delivered,Paid,15633.85,2814.09,0,18447.94
ORD000268,4019,20,16,2025-04-06 17:58:58,Cancelled,Refunded,985.1,177.32,50,1212.42
